77,78,79,80,81,82,83,84,85,86,87,88,89,90;80,81,82,83,84,85,86,87,88,89,90,91,92
62,63,64,65,66,67,68;69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
99,100,101,102,103,104,105;68,69,70,71,72,73,74,75
80,81,82,83,84,85,86,87,88,89,90,91,92;64,65,66,67,68,69
95,96,97,98,99,100,101,102,103;79,80,81,82,83,84,85,86,87,88,89,90,91,92
55,56,57,58,59,60,61,62,63;64,65,66,67,68,69,70,71,72,73,74,75,76,77
77,78,79,80,81,82,83,84,85,86,87,88,89,90,91;93,94,95,96,97,98,99,100
79,80,81,82,83,84,85,86,87,88,89;67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
9,10,11;33,34,35
1,2,3,4;3,4,5,6
82,83,84,85,86,87,88,89,90,91,92,93,94;71,72,73,74,75,76
94,95,96,97,98,99,100,101,102,103,104,105,106;93,94,95,96,97
71,72,73,74,75,76,77,78,79,80,81,82;89,90,91,92,93,94,95
97,98,99,100,101,102,103;74,75,76,77,78,79
